year,source,url,cited_by_concept_ids,cited_by_files
1888,Fox sisters confess the spiritualist fraud,,explanation-is-part-of-the-harm,IS_CON_explanation-is-part-of-the-harm.md
1966,"Schelling, Arms and Influence",,attack-to-force-acknowledgment,IS_CON_attack-to-force-acknowledgment.md
1976,Stasi Richtlinie 1/76 — Zersetzung doctrine,,ruin-first-then-rescue,IS_CON_ruin-first-then-rescue.md
1986,Socialist Workers Party v Attorney General — COINTELPRO,,organised-harassment-is-fact,IS_CON_organised-harassment-is-fact.md
2005,"Granqvist: sensed presence tracks suggestibility, not fields",,what-produces-the-feeling,IS_CON_what-produces-the-feeling.md
2006,"Kydd & Walter, The Strategies of Terrorism",,attack-to-force-acknowledgment,IS_CON_attack-to-force-acknowledgment.md
2007,Nisour Square,https://www.npr.org/2020/12/23/949679837/shock-and-dismay-after-trump-pardons-blackwater-guards-who-killed-14-iraqi-civil,contractors-killed-and-freed,IS_CON_contractors-killed-and-freed.md
2011,IARC classifies RF-EMF as Group 2B,https://publications.iarc.who.int/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Non-ionizing-Radiation-Part-2-Radiofrequency-Electromagnetic-Fields-2013,children-wearables-and-rf,IS_CON_children-wearables-and-rf.md
2013,PRISM disclosures,,no-private-thinking-space,IS_CON_no-private-thinking-space.md
2014,Blanke: a robot induces a felt presence,https://www.eurekalert.org/news-releases/889913,what-produces-the-feeling,IS_CON_what-produces-the-feeling.md
2014,Edrei — NYPD LRAD deployment,https://law.justia.com/cases/federal/appellate-courts/ca2/17-2065/17-2065-2018-06-13.html,denver-acoustic-weapons,IS_CON_denver-acoustic-weapons.md
2016,Penney measures the chilling effect,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2769645,no-private-thinking-space,IS_CON_no-private-thinking-space.md
2018,"Edrei v Bratton, 2d Cir.",https://law.justia.com/cases/federal/appellate-courts/ca2/17-2065/17-2065-2018-06-13.html,denver-acoustic-weapons,IS_CON_denver-acoustic-weapons.md
2018,France bans phones in schools,,children-wearables-and-rf,IS_CON_children-wearables-and-rf.md
2018,"Reuters, The Body Trade",https://ethics.sjmc.wisc.edu/wp-content/uploads/sites/2130/2024/08/reuters_bodytrade.pdf,who-profits-from-a-body,IS_CON_who-profits-from-a-body.md
2020,Blackwater pardons,https://news.un.org/en/story/2020/12/1081152,contractors-killed-and-freed,IS_CON_contractors-killed-and-freed.md
2020,"Tampa Bay Times, Targeted",https://projects.tampabay.com/projects/2020/investigations/police-pasco-sheriff-targeted/school-data/,what-children-are-subject-to,IS_CON_what-children-are-subject-to.md
2022,EFF exposes Fog Data Science,https://www.eff.org/deeplinks/2022/08/inside-fog-data-science-secretive-company-selling-mass-surveillance-local-police,made-into-assets-unknowing,IS_CON_made-into-assets-unknowing.md
2022,Epps v Denver verdict,https://www.aclu-co.org/cases/epps-et-al-v-city-and-county-denver-et-al/,denver-acoustic-weapons,IS_CON_denver-acoustic-weapons.md
2023,"Amnesty, Automated Apartheid",https://www.amnesty.org/en/latest/news/2023/05/israel-opt-israeli-authorities-are-using-facial-recognition-technology-to-entrench-apartheid/,no-private-thinking-space,IS_CON_no-private-thinking-space.md
2023,FTC v GoodRx,https://www.ftc.gov/news-events/news/press-releases/2023/02/ftc-enforcement-action-bar-goodrx-sharing-consumers-sensitive-health-info-advertising,how-protected-is-your-medical-record,IS_CON_how-protected-is-your-medical-record.md
2023,Tang & Huth semantic decoder,https://www.nature.com/articles/s41593-023-01304-9,can-a-machine-read-thought,IS_CON_can-a-machine-read-thought.md
2024,Change Healthcare breach — 190m people,,how-protected-is-your-medical-record,IS_CON_how-protected-is-your-medical-record.md
2024,Colorado HB24-1058,https://content.leg.colorado.gov/sites/default/files/documents/2024A/bills/2024a_1058_01.pdf,law-for-neural-data,IS_CON_law-for-neural-data.md
2024,"Neurorights Foundation, Safeguarding Brain Data",https://perseus-strategies.com/wp-content/uploads/2024/04/FINAL_Consumer_Neurotechnology_Report_Neurorights_Foundation_April-1.pdf,who-owns-neural-data,IS_CON_who-owns-neural-data.md
2024,"Pasco settles, admitting three violations",https://ij.org/press-release/case-closed-pasco-sheriff-admits-predictive-policing-program-violated-constitution/,what-children-are-subject-to,IS_CON_what-children-are-subject-to.md
2024,WHO-commissioned review finds no cancer link,https://www.arpansa.gov.au/who-review-finds-no-link-between-mobile-phone-use-and-brain-cancer,children-wearables-and-rf,IS_CON_children-wearables-and-rf.md
2025,"Medill: 3,500 newspapers gone",https://www.niemanlab.org/2025/10/in-medills-latest-state-of-local-news-report-a-festering-20-year-old-problem-looms-larger-than-ever/,why-isnt-this-in-the-news,IS_CON_why-isnt-this-in-the-news.md
2025,Montana LC0005,,law-for-neural-data,IS_CON_law-for-neural-data.md
2026,Tenth Circuit affirms Epps,,contractors-killed-and-freed,IS_CON_contractors-killed-and-freed.md
