dq_id,effect,geography,issue,source_id,tier,topic
cq01,"A question as simple as 'is crime rising?' has more than one defensible answer depending on which system is cited, and the systems have recently pointed in opposite directions.",US,"Police-recorded crime (FBI UCR/NIBRS), crimes people report experiencing when surveyed (BJS National Crime Victimization Survey), and homicide deaths recorded on death certificates (CDC/NCHS vital statistics) are three different counts of three different things. All are correct. None is 'the' crime rate.",cs_two_measures,A,US crime is measured by three systems that disagree
cq02,Comparisons that span 2021 — including most 'crime since the pandemic' reporting — often compare two different collection systems rather than two years of crime.,US,"The FBI retired its Summary Reporting System in favour of NIBRS for 2021. Agency participation collapsed: NIBRS covered 65.7% of the US population in 2021, against 96.2% in 2025. Major departments including the NYPD, LAPD and San Francisco PD did not submit 2021 data. The FBI's own language is that 'traditional methodologies could not be applied', and that the 2021 estimated trends are 'not considered statistically significant'.",cs002,A,The 2021 NIBRS transition broke comparability
cq03,Mixing vintages on one chart produces changes that are artefacts of publication rather than of crime. Every row in this dataset records its vintage for that reason.,US,"The same year carries different values depending on which annual report it is read from. 2019 murders were first published as 16,425 and revised to 16,669 — and the FBI's own headline '+29.4% in 2020' is calculated against the revised base. 2020 has both a 21,570 SRS-based estimate and a 22,000 NIBRS-based estimate for the same year. The 2024 rate was published as 5.0 and revised to 5.1.",cs016,A,"FBI figures are revised, and the vintage changes the answer"
cq04,The two series run in parallel with a persistent gap. Neither is an error in the other. Quoting one as a correction of the other is the error.,US,"The FBI counts murder and nonnegligent manslaughter as offences known to police. CDC/NCHS counts deaths certified as homicide, including those the FBI classifies as justifiable and those never cleared as an offence. The CDC rate is also age-adjusted; the FBI rate is crude.",cs022,A,"FBI and CDC homicide counts do not match, and should not"
cq05,"The long decline from 93% in 1962 to the low 50s in 2022 is well documented, but the intervening shape is reconstructed from scattered years, not a published annual series.",US,"A homicide is 'cleared' when closed by arrest or by exceptional means — which includes cases where the suspect died or could not be extradited. It is not a conviction rate and not a 'solve rate', though it is reported as both. A continuous year-by-year national series could not be assembled from fetchable sources; what is recorded here is selected years.",cs012,A,"Clearance is not conviction, and the series is sparse"
cq06,"Police-recorded series measure reported crime and the propensity to report, combined. They cannot separate the two.",US,"Approximately 48% of violent victimisations were reported to police in 2024. Police-recorded crime can therefore fall while victimisation rises, with no contradiction between the two.",cs_ncvs_cv24,A,Only about half of violent victimisations reach police records
cq07,A 2021-to-2024 percentage change overstates the rise by an unknown amount. This dataset does not publish that percentage as a headline for that reason.,US,"NCVS violent victimisation reads 16.5 per 1,000 in 2021 and 23.5 in 2022. Some of that step is likely collection: 2020 and 2021 fieldwork was disrupted, and the survey's own documentation cautions on comparability across that period.",cs_ncvs_cv24,B,The 2021 NCVS baseline was collected under pandemic conditions
cq08,"The count series has two gaps. The rate series, which is what the charts use, is complete.",US,Murder counts for 2022 and 2023 are absent here. The FBI's 2022 release publishes only a percentage change; the 2023 release and the 2023 CDE summary were unreachable when this dataset was assembled. The 2025 count is secondary — the FBI published the rate (4.1) but not the count.,cs031,A,Two recent FBI counts could not be verified
cq09,"2026 figures are shown as a stated percentage change over a stated period and sample, never as a point on the annual chart. A partial year plotted on an annual series reads as a completed year and would be wrong.",US,"There is no national 2026 crime statistic yet — the FBI publishes annually and released final 2025 data on 14 August 2026. What exists for 2026 is a 36-city half-year comparison and a 566-agency index covering about 119 million people, roughly a third of the country. Both are samples of larger urban agencies, which are not representative of national crime.",cs_ccj_2026,A,"2026 figures are partial-year and city-sample, not national"
cq10,Any chart must stay inside ONE series; mixing them manufactures changes that are artefacts of methodology. The arrests chart here uses the FBI series throughout and draws the 2016/2021 gaps as gaps.,US,"The FBI's CIUS/CDE arrest estimates and BJS's 'Arrest in the United States, 1980-2009' series use different estimation weights: the FBI series puts the 1997 peak at 15.28 million, the BJS series at roughly 11.6 million. Both are official. National data gaps exist at 2016 and 2021.",cs108,A,"Two federal arrest series exist, and they disagree"
