geography,indicator_id,note,publisher,source_id,tier,unit,value,workstream,year
US,ccj_h1_agg_assault_pct_change,,Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",-2.0,W1-YTD,2026
US,ccj_h1_carjacking_pct_change,,Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",-47.0,W1-YTD,2026
US,ccj_h1_domestic_violence_pct_change,"ROSE, and by the largest margin of any offence in the sample.",Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",8.0,W1-YTD,2026
US,ccj_h1_gun_assault_pct_change,,Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",-6.0,W1-YTD,2026
US,ccj_h1_homicide_pct_change,215 fewer homicides across the 30 cities reporting homicide data.,Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",-18.0,W1-YTD,2026
US,ccj_h1_mv_theft_pct_change,,Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",-20.0,W1-YTD,2026
US,ccj_h1_robbery_pct_change,,Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",-17.0,W1-YTD,2026
US,ccj_h1_sexual_assault_pct_change,ROSE. One of four offences of thirteen that did not fall.,Council on Criminal Justice,cs_ccj_2026,A,"% change, H1 2026 vs H1 2025, 36 large cities",3.0,W1-YTD,2026
US,cdc_homicide_count,FLAGGED. Reported as the series minimum; same limitation as the 2021 count. Tier B.,NCHS / CDC (NCHS Data Brief 526 data tables),cs022,B,deaths,15872,W1,2014
US,cdc_homicide_count,"FLAGGED. Reported as the series maximum in the db526 backing tables, but I could not open the standalone tables PDF (db526-tables.pdf returned 404) to confirm the row label. Tier B.",NCHS / CDC (NCHS Data Brief 526 data tables),cs022,B,deaths,26031,W1,2021
