category,certainty,description,geo,milestone_id,occurred_on,source_id,tier,title,track
measurement,documented,CDC dates the third opioid wave to 2013. The overdose lane on the crime chart accelerates from here.,US,cm01,2013-01,cs_ccj_2026,A,Fentanyl wave begins; overdose becomes the fastest-growing cause of death,G
homicide,documented,"FBI, 2020 annual data. CDC death certificates register the same event independently (rate 6.0 to 7.8).",US,cm02,2020-06,,A,Murder rises 29.4% — the largest single-year increase on record,G
measurement,documented,Agency participation collapses to 65.7% population coverage; the FBI calls its own 2021 trends not statistically significant.,US,cm03,2021-01,,A,NIBRS transition breaks the national crime series,G
missing,documented,"Down from 651,226 in 2017. Entries are records, not people; whether the fall is fewer cases or less entering cannot be separated.",US,cm04,2025-12,,A,"NCIC missing-person entries fall to 498,038 — lowest of the modern record",G
homicide,documented,"FBI final 2025 data (released 2026-08-14): violent crime down 9.3%, the largest year-to-year decline since estimation began in 1936.",US,cm05,2025-12,,A,"Murder rate 4.1 per 100,000 — tied for the lowest ever recorded",G
enforcement,documented,"HSI-led operation; 180 victims rescued. An arrest count, not charges or convictions — no breakdown published. Roughly a third of a normal year's HSI trafficking arrests in a few weeks.",US,cm06,2026-07-29,hs_dhs_worldcup,A,World Cup sweep: 905 trafficking arrests announced,G
missing,documented,"New FBI initiative on unsolved homicides, kidnappings and missing persons in Indian country, with a searchable case map. The federal government's own acknowledgement that these cases sit unsolved in numbers worth a program.",US,cm07,2026-08-18,hs_fbi_vnf,A,"FBI 'Voices Not Forgotten': $25,000 minimum rewards for MMIP cases",G
missing,documented,The modern high of the entry series. Every later year declines; by 2025 entries are 24% lower.,US,cm08,2017-12,,A,"NCIC missing-person entries peak: 651,226",G
accountability,corroborated,Down from 93% in 1962. Nearly half of US homicides that year were not closed by arrest or exceptional means.,US,cm09,2022-12,,B,Homicide clearance falls to 52.3% — the lowest ever reported,G
measurement,documented,BJS's NIBRS National Estimates begin — the first coverage-adjusted national count of the offence that contains stalking. No comparable figure exists for any earlier year.,US,cm10,2022-06,,A,"First national intimidation estimate: ~800,000 offences",G
accountability,corroborated,Back to the 2019 level after the 2020-2022 trough. Roughly four in ten homicides still go uncleared.,US,cm11,2024-12,,B,Homicide clearance recovers to 61.4%,G
enforcement,corroborated,"Reported two ways for the same month: about 73,000 on 16 January (CBS, citing ICE) and 70,766 on 24 January (Kocher, from ICE's published detention files). Either way the first time above 70,000 in ICE's 23-year history, and above the 2019 peak. Vera counts 456 facilities in active use against 220 ICE publicly acknowledges; ~444,900 bookings since January 2025. By 11 July 2026 the published count was 65,765, of whom 70.6% had no criminal conviction.",US,cm12,2026-01,hs_vera_2026,B,"ICE detention passes 70,000 held in a single day",G
enforcement,documented,The annual baseline against which the 905-arrest World Cup sweep reads as a third of a year's volume in weeks.,US,cm13,2025-08,hs_dhs_ccht_fy24,A,"HSI FY2024: 2,545 trafficking arrests from 1,686 investigations",G
transnational,corroborated,"126 new cases in 2025 by 30 governments; 54 governments implicated since 2014. The only systematic count of TR — private, physical incidents only, self-described as a fraction of the whole.",Global/US,cm14,2026-04,tr_fh_2025,B,"Freedom House: 1,375 physical transnational-repression incidents since 2014",G
measurement,documented,"'Household burglary' becomes 'burglary/trespassing'. BJS's own tables note the change; the two sides of 2017 are not one series, so the 1999-2024 fall spans a redefinition.",US,cm15,2017-01,bg_bjs_cv24,A,NCVS redesign renames and redefines household burglary,G
measurement,documented,"340.5 per 100,000, down 53% from 2000. From 2020 the national figure is a NIBRS-based estimate on a different basis — not a continuation. The harm chart breaks the burglary lane here rather than drawing through it.",US,cm16,2019-12,bg_fbi_srs2019,A,The Summary Reporting System publishes its last national burglary rate,G
measurement,documented,"Checked 2026-08-21: the property-crime dashboards redirect to a portal with no such theme and the legacy CTS burglary spreadsheet 404s. The only surviving route to the same collection is Eurostat, which covers Europe only. The second live citation on this site to vanish from its own publisher's portal.",Global,cm17,2026-08,bg_unodc_gone,A,UNODC withdraws burglary as a retrievable indicator,G
incarceration,documented,"The high point of the state and federal prison population. Twelve consecutive years of decline follow, to 1,205,087 in 2021 — a quarter of the system.",US,cm18,2009-12,inc_bjs_p19,A,"American imprisonment peaks at 1,615,487",G
measurement,documented,"The US stood at 114% of its lowest reported capacity, 26 states at or above 100%. 'Prisoners in 2019' contains no capacity table, and neither does any edition since — so 'is the prison system overcrowded' has no current federal answer.",US,cm19,2016-12,inc_bjs_p16,A,BJS publishes its last prison capacity table,G
incarceration,documented,The lowest point since 1996. It rises 2.1% in 2022 and 2.0% in 2023 — and then the record stops: BJS has published nothing for 2024 or 2025.,US,cm20,2021-12,inc_bjs_p23st,A,"Prison population bottoms out at 1,205,087, then turns",G
