accessed,archived_url,evidence_tier,publisher,source_id,title,url
2026-08-20,,A,Bureau of Justice Statistics,cs001,Homicide Trends in the United States (UCR-based series 1950-2005),https://bjs.ojp.gov/content/pub/pdf/htius.pdf
2026-08-20,,A,Bureau of Justice Statistics,cs002,NIBRS Estimation Program,https://bjs.ojp.gov/nibrs-estimation-program
2026-08-20,,A,FBI Crime Data Explorer,cs003,"Reported Crimes in the Nation, 2024 - Frequently Asked Questions",https://cde.ucr.cjis.gov/LATEST/resources/reports/Reported%20Crimes%20in%20the%20Nation%202024%20FAQs.pdf
2026-08-20,,A,FBI Crime Data Explorer,cs004,Reported Crimes in the Nation Quick Stats (2024),https://cde.ucr.cjis.gov/LATEST/resources/reports/Reported%20Crimes%20in%20the%20Nation%20Quick%20Stats.pdf
2026-08-20,,A,FBI Crime Data Explorer,cs005,"UCR Summary of Reported Crimes in the Nation, 2024",https://cde.ucr.cjis.gov/LATEST/resources/reports/UCR%20Summary%20of%20Reported%20Crimes%20in%20the%20Nation%202024.pdf
2026-08-20,,A,FBI Crime Data Explorer,cs006,"UCR Summary of Reported Crimes in the Nation, 2025",https://cde.ucr.cjis.gov/LATEST/resources/reports/UCR_Summary_of_Reported_Crimes_in_the_Nation_2025.pdf
2026-08-20,,B,Jeff Asher / Jeff-alytics,cs007,Murder Fell At The Fastest Pace Ever Recorded In 2023 (2024-09-23),https://jasher.substack.com/p/murder-fell-at-the-fastest-pace-ever
2026-08-20,,B,Jeff Asher / Jeff-alytics,cs008,The FBI Reports That Murder Officially Fell At The Fastest Pace Ever Recorded in 2025 (2026-08-14),https://jasher.substack.com/p/the-fbi-reports-that-murder-officially
2026-08-20,,B,Jeff Asher / Jeff-alytics,cs009,"There Were 14,000 Murders In The United States Last Year (2026-03-09) - documents FBI revision magnitudes",https://jasher.substack.com/p/there-were-14000-murders-in-the-united
2026-08-20,,A,FBI CJIS,cs010,FBI Releases Data on Crime in the Nation for 2021,https://le.fbi.gov/cjis-division/cjis-link/fbi-releases-data-on-crime-in-the-nation-for-2021
2026-08-20,,A,FBI Law Enforcement Bulletin,cs011,Crime Data: 2021 Nationwide Crime Statistics,https://leb.fbi.gov/bulletin-highlights/additional-highlights/crime-data-2021-nationwide-crime-statistics
2026-08-20,,A,Annual Review of Criminology (peer-reviewed),cs012,"Cook PJ, Mancik A. The Sixty-Year Trajectory of Homicide Clearance Rates. Annu Rev Criminol 7:59-83, 2024. DOI 10.1146/annurev-criminol-022422-122744",https://static1.squarespace.com/static/5b7ea2794cde7a79e7c00582/t/65c120d169e0d131b5e53387/1707155666076/cook-mancik-2024-the-sixty-year-trajectory-of-homicide-clearance-rates-toward-a-better-understanding-of-the-great.pdf
2026-08-20,,A,FBI UCR,cs013,"Crime in the United States 1999, Section II",https://ucr.fbi.gov/crime-in-the-u.s/1999/99sec2.pdf
2026-08-20,,A,FBI UCR,cs014,Crime in the United States 2010 - Clearances,https://ucr.fbi.gov/crime-in-the-u.s/2010/crime-in-the-u.s.-2010/clearances
2026-08-20,,A,FBI UCR,cs015,"Crime in the United States 2010, Table 1 (1991-2010)",https://ucr.fbi.gov/crime-in-the-u.s/2010/crime-in-the-u.s.-2010/tables/10tbl01.xls
2026-08-20,,A,FBI UCR,cs016,Crime in the United States 2019 - Clearances,https://ucr.fbi.gov/crime-in-the-u.s/2019/crime-in-the-u.s.-2019/topic-pages/clearances
2026-08-20,,A,FBI UCR,cs017,"Crime in the United States 2019, Table 1 (1999-2019)",https://ucr.fbi.gov/crime-in-the-u.s/2019/crime-in-the-u.s.-2019/topic-pages/tables/table-1
2026-08-20,,A,Annual Reviews,cs018,Cook & Mancik 2024 - abstract page (confirmed 93%/1962 and 29-point decline),https://www.annualreviews.org/content/journals/10.1146/annurev-criminol-022422-122744
2026-08-20,,B,Axios,cs019,FBI data for 2025 show biggest drop in violent crime in 90 years (2026-08-18),https://www.axios.com/2026/08/18/fbi-violent-crime-drop-2025
2026-08-20,,B,Brennan Center for Justice,cs020,FBI Data Confirms Drop in Most Crimes in 2023 (2024-09-26),https://www.brennancenter.org/our-work/analysis-opinion/fbi-data-confirms-drop-most-crimes-2023-especially-murders
2026-08-20,,B,CBS News,cs021,"Violent crime plummeted in 2025, with murder rate hitting 20-year low, FBI says (2026-08-14)",https://www.cbsnews.com/news/fbi-crime-data-violent-crime-murder-white-house/
2026-08-20,,A,NCHS / CDC,cs022,"Curtin SC. Trends in Death Rates for Leading Methods of Injury: United States, 2003-2023. NCHS Data Brief No. 526, March 2025. DOI 10.15620/cdc/174582",https://www.cdc.gov/nchs/data/databriefs/db526.pdf
2026-08-20,,A,NCHS / CDC,cs023,"Health, United States, Table 29: Death rates for homicide, selected years 1950-2016",https://www.cdc.gov/nchs/data/hus/2017/029.pdf
2026-08-20,,A,NCHS / CDC,cs024,"Health, United States 2020-2021: Age-adjusted death rates for selected causes, selected years 1950-2019",https://www.cdc.gov/nchs/data/hus/2020-2021/SlctMort.pdf
2026-08-20,,A,NCHS / CDC,cs025,"Xu J, Murphy SL, Kochanek KD, Arias E. Deaths: Final Data for 2022. NVSR Vol 74 No 4, June 10, 2025",https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-04.pdf
2026-08-20,,A,NCHS / CDC,cs026,FastStats - Homicide (2024 data via CDC WONDER),https://www.cdc.gov/nchs/fastats/homicide.htm
2026-08-20,,A,NCHS / CDC,cs027,NCHS Data Brief 526 landing page (citation + figure data tables),https://www.cdc.gov/nchs/products/databriefs/db526.htm
2026-08-20,,B,FactCheck.org,cs028,Trump's Misleading Crime Drop Claims (Aug 2026) - corroborates revised 2024 rate of 5.1,https://www.factcheck.org/2026/08/trumps-misleading-crime-drop-claims/
2026-08-20,,A,FBI,cs029,FBI Releases 2020 Crime Statistics,https://www.fbi.gov/news/press-releases/fbi-releases-2020-crime-statistics
2026-08-20,,A,FBI,cs030,FBI Releases 2021 Crime in the Nation Statistics,https://www.fbi.gov/news/press-releases/fbi-releases-2021-crime-in-the-nation-statistics
2026-08-20,,A,FBI,cs031,FBI Releases 2022 Crime in the Nation Statistics,https://www.fbi.gov/news/press-releases/fbi-releases-2022-crime-in-the-nation-statistics
2026-08-20,,A,FBI,cs032,FBI Releases 2024 Reported Crimes in the Nation Statistics,https://www.fbi.gov/news/press-releases/fbi-releases-2024-reported-crimes-in-the-nation-statistics
2026-08-20,,A,FBI,cs033,FBI Releases 2025 Reported Crimes in the Nation Statistics,https://www.fbi.gov/news/press-releases/fbi-releases-2025-reported-crimes-in-the-nation-statistics
2026-08-20,,A,FBI,cs034,FBI Releases Historic Early Look at Annual Crime Data (2026-05-13),https://www.fbi.gov/news/press-releases/fbi-releases-historic-early-look-at-annual-crime-data
2026-08-20,,B,Murder Accountability Project,cs035,"Murder Accountability Project home (clearance rates, citing FBI CJIS)",https://www.murderdata.org/
2026-08-20,,B,Murder Accountability Project,cs036,More good news for homicide clearance rates in America (2025-10-09),https://www.murderdata.org/2025/10/some-more-good-news-for-homicide.html
2026-08-20,,B,Pew Research Center,cs037,What we know about the increase in U.S. murders in 2020,https://www.pewresearch.org/short-reads/2021/10/27/what-we-know-about-the-increase-in-u-s-murders-in-2020/
2026-08-20,,B,The Marshall Project,cs038,What Can FBI Data Say About Crime in 2021? It's Too Unreliable to Tell,https://www.themarshallproject.org/2022/06/14/what-did-fbi-data-say-about-crime-in-2021-it-s-too-unreliable-to-tell
2026-08-21,,A,Council on Criminal Justice,cs_ccj_2026,Crime Trends in U.S. Cities: Mid-Year 2026 Update (2026-07-22),https://counciloncj.org/crime-trends-in-u-s-cities-mid-year-2026-update/
2026-08-21,,B,Jeff Asher / Real-Time Crime Index,cs_rtci_2026,Murder in the US Fell Dramatically in the First Half of 2026 (2026-07-06),https://jasher.substack.com/p/murder-in-the-us-fell-dramatically
2026-08-20,,A,Bureau of Justice Statistics,cs_ncvs_cv24,"Criminal Victimization, 2024",https://bjs.ojp.gov/document/cv24.pdf
2026-08-20,,A,Bureau of Justice Statistics,cs_two_measures,"The Nation's Two Crime Measures, 2015-2024",https://bjs.ojp.gov/library/publications/nations-two-crime-measures-2015-2024
2026-08-21,,A,Bureau of Justice Statistics,cs043,Bureau of Justice Statistics,https://api.ojp.gov/bjsdataset/v1/x3sz-eb6y.json
2026-08-21,,A,Bureau of Justice Statistics,cs044,Bureau of Justice Statistics,https://api.ojp.gov/bjsdataset/v1/cqmi-ycfq.json
2026-08-21,,A,FBI UCR Program,cs045,FBI UCR Program,https://ucr.fbi.gov/nibrs/2015/resource-pages/nibrs-2015_summary_final-1.pdf
2026-08-21,,A,FBI UCR Program,cs046,FBI UCR Program,https://ucr.fbi.gov/nibrs/2016/resource-pages/nibrs-2016_summary.pdf
2026-08-21,,A,FBI UCR Program,cs047,FBI UCR Program,https://ucr.fbi.gov/nibrs/2017/resource-pages/nibrs-2017_summary-11-6-2018.pdf
2026-08-21,,A,FBI UCR Program,cs048,FBI UCR Program,https://ucr.fbi.gov/nibrs/2018/resource-pages/countdown.pdf
2026-08-21,,A,FBI UCR Program,cs049,FBI UCR Program,https://ucr.fbi.gov/nibrs/2019/resource-pages/summary.pdf
2026-08-21,,A,Bureau of Justice Statistics,cs050,Bureau of Justice Statistics,https://www.justice.gov/ovw/docs/bjs-stalking-rpt.pdf
2026-08-21,,A,Bureau of Justice Statistics,cs051,Bureau of Justice Statistics,https://bjs.ojp.gov/content/pub/pdf/sv16.pdf
2026-08-21,,A,Bureau of Justice Statistics,cs052,Bureau of Justice Statistics,https://bjs.ojp.gov/content/pub/pdf/sv19.pdf
2026-08-21,,B,Pew Research Center,cs053,Pew Research Center,https://www.pewresearch.org/internet/wp-content/uploads/sites/9/2021/01/PI_2021.01.13_Online-Harassment_FINAL-1.pdf
2026-08-21,,B,Pew Research Center,cs054,Pew Research Center,https://www.pewresearch.org/internet/2021/01/13/the-state-of-online-harassment/
2026-08-21,,B,FBI CJIS,cs055,FBI CJIS,https://www.fbi.gov/file-repository/2015-ncic-missing-person-and-unidentified-person-statistics.pdf
2026-08-21,,A,FBI CJIS,cs056,FBI CJIS,https://www.fbi.gov/file-repository/reports-and-publications/2016-ncic-missing-person-and-unidentified-person-statistics.pdf
2026-08-21,,A,FBI CJIS,cs057,FBI CJIS,https://www.fbi.gov/file-repository/reports-and-publications/2017-ncic-missing-person-and-unidentified-person-statistics.pdf
2026-08-21,,A,FBI CJIS,cs058,FBI CJIS,https://www.fbi.gov/file-repository/reports-and-publications/2018-ncic-missing-person-and-unidentified-person-statistics.pdf
