source_id,statement,tier,topic
cs013,"US murder rose 29.4% in 2020 — the largest single-year increase the FBI has recorded. CDC vital statistics show the same event independently: the age-adjusted homicide death rate went from 6.0 to 7.8 per 100,000.",A,homicide_2020_spike
cs033,"The spike has fully reversed on the police measure. The FBI's final 2025 data records murder down 18.1% and violent crime down 9.3% year-over-year — the largest year-to-year violent-crime decline since FBI estimation began in 1936 — at a murder rate of 4.1 per 100,000, tied with 1955 and 1956 for the lowest ever recorded and below the 2019 pre-pandemic rate of 5.0.",A,homicide_reversal
cs_two_measures,"The victimisation survey does not show the same recovery. NCVS violent victimisation was 23.3 per 1,000 persons age 12+ in 2024 against 16.5 in 2021, and has stayed near that level since 2022, while NIBRS-estimated police-recorded violent crime fluctuated only between 3.7 and 4.0 per 1,000 across 2015-2024. About 48% of violent victimisations were reported to police in 2024.",A,two_measures_diverge
cs_ccj_2026,"2026 so far continues the fall. Across 36 large cities, homicide in the first half of 2026 was 18% below the first half of 2025 — 215 fewer deaths — with carjacking down 47%, motor vehicle theft down 20% and robbery down 17%. The Real-Time Crime Index, a separate sample of 566 agencies covering about 119 million people, independently records murder down 18.7% through April. Nine of thirteen offences fell. Two rose: domestic violence by 8% and sexual assault by 3%.",A,ytd_2026
cs012,"The share of homicides cleared by arrest or exceptional means fell from 93% in 1962 to 64% by 1994, reached 61.4% in 2019, dropped sharply to 54% in 2020 and to a reported low of 52.3% in 2022, recovering to 61.4% in 2024. Roughly four in ten US homicides are not cleared.",B,clearance_decline
bg_fbi_cde24,"Break-ins have fallen further than anything else this section measures. The police-recorded US burglary rate fell 53% between 2000 and 2019 on the Summary Reporting System basis, and a further 26% between 2020 and 2024 on the NIBRS-based estimates that replaced it. Households asked directly report the same direction: 34.1 burglaries per 1,000 households in 1999 against 12.0 per 1,000 in 2024, across a category BJS redefined in 2017.",A,burglary_us
bg_eurostat_iccs,"The fall is not an American story. Residential burglary is down 79% in the Netherlands since 2009, 54% in Germany since its 2015 peak, and 39% in Spain since 2013; England and Wales record 327,000 domestic burglaries in the year ending December 2025 against 2.4 million in 1993; Canadian breaking and entering is 77% below 1998; Australian household break-ins fell from 2.7% of households in 2014-15 to 1.8% in 2024-25. Italy is the exception, 44% above its 2020 trough.",A,burglary_international
bg_statcan_be02,"'Home invasion' is not an offence anyone counts nationally. It is recorded as burglary — sorted by location and by whether force was used, not by whether the household was home. Statistics Canada states outright that it cannot be measured from its national survey. So the honest answer to whether home invasions have risen is that no national series exists to say.",A,home_invasion
inc_bjs_p23st,"American imprisonment peaked in 2009 at 1,615,487 people under state or federal jurisdiction, fell for twelve years to 1,205,087 in 2021 — a quarter of the system — and has risen every year since, by 2.1% in 2022 and 2.0% in 2023. The imprisonment rate followed the same shape, peaking at 506 per 100,000 in 2007 and reaching 360 in 2023. No figure for 2024 or 2025 has been published.",A,incarceration_us
inc_bjs_ji23st,"The decade-long fall in the American jail population is almost entirely a fall in convicted people. Between 2013 and 2023 the sentenced jail population fell 29%, from 278,000 to 196,600, while the unconvicted population rose 3%, from 453,200 to 467,600. Seventy percent of people held in local jails in 2023 had not been convicted of anything.",A,jail_composition
inc_wpb_rank,"The United States is no longer the world's highest incarcerator by rate. The World Prison Brief puts it fourth at 542 per 100,000 for 2023, behind El Salvador (1,659, March 2024), Cuba (794, January 2020) and Turkmenistan (about 576, early 2021). It remains several times above every comparable country — Germany 69, Japan 33 — but the ranking itself mixes reference dates across eight years and cannot be drawn as a chart.",B,incarceration_international
an_pew_mode,"Of the things people report when something is wrong, missing persons are counted and falling — NCIC records entered are at their modern low. Home invasion is not counted anywhere. Hallucinations are measured once a decade in England and not at all by any United States federal survey. Hauntings are measured as belief rather than experience: Gallup has asked Americans whether they believe in ghosts since 1990 and has never asked whether they have seen one.",A,anomalies_what_is_counted
an_aaro_fy24,"The only official count of anomalous reports that exists — the federal UAP office's — rose from 247 to 757 and then fell to 319, across reporting periods of 18, 8, 13 and 12 months. The office attributes the rise to reduced stigma and to the FAA beginning to forward reports weekly. It measures a reporting system, not a phenomenon.",A,anomalies_reporting_not_events
