document,documented_by,dq_id,effect,geography,issue,quantification,source_id,tier,topic
WHO suicide data page + fact sheet,WHO,dq01,,Global,Most WHO Member States lack good-quality vital registration for suicide,86 of 183 Member States have good-quality vital registration (GHE 2021); the 37 LMICs with good registration account for only 16.3% of estimated LMIC suicides; 73% of global suicides occur in LMICs.,hs023,A,
WHO suicide data page,WHO,dq02,,Global,Systematic misclassification of suicides into other ICD categories,"Most commonly misclassified as deaths of undetermined intent (Y10-Y34), accidents (V01-X59), homicides (X85-Y09), unknown cause; 'under-reporting and misclassification are greater problems for suicide than for most other causes of death.'",hs023,A,
"European Journal of Public Health 30(Suppl 5), 2020","Semyonova, Sabgayda, Zubko & Gavrilov",dq03,,Russia,Rising share of Russian deaths coded 'undetermined intent' masks suicides; official decline overstated,Official suicide mortality fell 3.4x (M) / 2.9x (F) 2000-2018 but undetermined-intent deaths fell only 14.2% / 11.6%; true suicide mortality likely exceeds Rosstat by ~60% (M) and >2x (F); latent events >1/3 (M) and ~50% (F) of total by 2018.,hs028,A,
Population and Economics (2024),"Semyonova, Zubko & Sabgayda",dq04,,Russia,Age-specific quantification of latent suicides in Russian undetermined-intent coding,Counting relevant undetermined-intent deaths as latent suicides increases male estimated losses from ~80% (15-24) declining to ~50% at older ages; female suicide mortality rate doubles at all ages above 15.,hs029,A,
'Long-term changing patterns of suicide mortality in China 1987-2020',BMC Public Health (2024) analysis of NHC death registration,dq05,,China,"China's mortality registration historically covered ~10% of population, unrepresentative (eastern/central cities)",'Mortality data in the early years only covered approximately 10% of China's population'; stigma-driven underreporting 'may affect the authenticity of suicide data.',hs027,A,
"The Lancet 359(9309), 2002","Phillips, Li & Zhang",dq06,,China,China's 1990s national figures required explicit adjustment for unreported deaths,"Adjusted official data to 23/100k and 287,000 deaths/yr; rural 3x urban, female 25% above male — patterns invisible in urban-weighted registration.",hs026,A,
Shanghai Archives of Psychiatry (2014),"RGI Million Death Study (Patel et al., Lancet 2012), via peer-reviewed review",dq07,,India,India's official statistics are police-reported (NCRB/FIR); verbal autopsy finds ~2x the official rate,Verbal-autopsy 2010 rate ages 15+: 22/100k vs NCRB ~11.4; rural verbal-autopsy rates 3-4x government-reported.,hs034,A,
CMHLP blog on India suicide data accuracy,CMHLP (citing GBD),dq08,,India,"GBD modeled estimates for India substantially exceed NCRB, with gendered undercount","GBD 2016 75% above NCRB; 802,684 additional deaths 2005-2015; undercount ~27% male / ~50% female; poisoning deaths often recorded as accidental.",hs033,B,
Mental Healthcare Act 2017 (S.115),Parliament of India; CMHLP,dq09,,India,Legal history suppressed Indian reporting: attempted suicide criminal (IPC 309) until Mental Healthcare Act 2017,"Passed 2017-04-07, in force 2018-05-29; families still withhold information; 'misconceptions about legal consequences persist.'",hs035,B,
"'Decriminalising Suicide: Saving Lives, Reducing Stigma' (2025 update)",United for Global Mental Health (corroborated by WHO),dq10,,Global (≥24 countries),Criminalization of suicide/attempts in ≥24 countries deters help-seeking and drives misclassification,"'In at least 24 countries anyone who attempts suicide can be arrested, prosecuted, or punished'; WHO: illegality makes under-reporting and misclassification greater problems.",hs036,B,
"'Change in the standard of proof used by coroners...' (ONS, 2020-12-08)",ONS,dq11,,UK (England & Wales),"Definitional divergence: UK deliberately INCLUDES undetermined-intent deaths (Y10-Y34, 15+) in 'suicide' — official rates not like-for-like across countries","Definition = X60-X84 (10+) plus Y10-Y34 (15+); from 2018-07-26 coroners' standard of proof lowered to 'balance of probabilities', after which intentional self-harm coding rose and undetermined intent fell.",hs037,A,
WHO Global Health Estimates page (GHE 2021),WHO,dq12,,Global,"WHO headline numbers for most countries are modeled estimates (GHE), not counted deaths — incl. China, India, Russia",Estimates produced from consolidated sources incl. GBD models where registration is missing; only 86/183 states have good registration.,hs024,A,
'How do global statistics on suicide differ between sources?',Our World in Data,dq13,,Global,"WHO and IHME/GBD produce materially different estimates for the same country-years (different models, undetermined-intent redistribution)",WHO uses adjusted registration where coverage >=80%; IHME reclassifies some undetermined-intent deaths to suicide; India lacks usable WHO Mortality Database registration data.,hs040,B,
Frontiers in Psychiatry (2025),Meda et al. (systematic review + meta-analysis),dq14,,Global; LMICs,"Aggregate global underreporting: ~1 in 6 suicides missing worldwide; ~1 in 3 in large LMICs (India, China)",Pooled global underreporting 17.9% (CI 10.9-28.1%); LMICs 'such as India and China' 34.9% (CI 20.3-53%); HICs 11.5% (CI 6.6-19.3%); corrected global total >1 million/yr.,hs039,A,
,,hq015,A reported percentage change spanning the provisional/final boundary can move several points without any underlying change in deaths.,US,"The 2025 figure is provisional and the 2024 figure on this chart is final. They are different vintages, and the choice of vintage changes the headline. CDC's May 2026 release reports a fall of almost 14% for 2025 by comparing it with a provisional 2024 estimate of 81,313. Measured against the final 2024 count of 79,384, the same provisional 2025 figure is a fall of about 11.9%. Provisional counts rise as late certificates are processed, so the 2025 number should be expected to revise upward.",,hs057,A,Drug overdose deaths — provisional against final
