geography,indicator_id,note,provisional,publisher,rate_per_100k,source_id,tier,unit,value,workstream,year
England,adhd_adult_patients_england,"+24.3% vs 2023/24 (children +9.48% to 135,000).",False,NHSBSA,,hs066,A,"identified adult patients, FY 2024/25",190000,W3,2025
England,adhd_stimulant_items_england,BNF 4.4.,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2015/16",1.31,W3,2016
England,adhd_stimulant_items_england,+63.3% vs 2015/16.,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2021/22",2.13,W3,2022
England,adhd_stimulant_items_england,"325,000 patients.",False,The Pharmacist (reporting NHSBSA),,hs070,B,"prescription items (millions), FY 2024/25",3.38,W3,2025
18 European countries (OECD),antidepressant_ddd_europe,OECD chapter is primary reference; tables not machine-readable via proxy.,False,Euronews (reporting OECD Health Statistics),,hs083,B,"DDD per 1,000 people/day (average)",30.5,W3,2000
18 European countries (OECD),antidepressant_ddd_europe,+147% vs 2000; Iceland highest (153); UK +256% 2000-2020; Denmark only decliner 2010-2020.,False,Euronews (reporting OECD),,hs083,B,"DDD per 1,000 people/day (average)",75.3,W3,2020
England,antidepressant_items_england,MUMH annual summary.,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2015/16",61.9,W3,2016
England,antidepressant_items_england,+34.8% vs 2015/16.,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2021/22",83.4,W3,2022
England,antidepressant_items_england,+3.3% vs 2022/23; 8.7m identified patients.,False,NHSBSA,,hs068,A,"prescription items (millions), FY 2023/24",89.0,W3,2024
England,antidepressant_items_england,+3.94% vs 2023/24; 8.89m patients. Published 2025-07-24.,False,NHSBSA,,hs066,A,"prescription items (millions), FY 2024/25",92.6,W3,2025
England,antipsychotic_items_england,,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2015/16",11.0,W3,2016
England,antipsychotic_items_england,+19.7% vs 2015/16.,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2021/22",13.2,W3,2022
England,antipsychotic_items_england,"873,000 patients. Confirm against NHSBSA Excel tables before publication.",False,The Pharmacist (reporting NHSBSA MUMH 2024/25),,hs070,B,"prescription items (millions), FY 2024/25",13.9,W3,2025
England,antipsychotic_items_england_openprescribing,"96.56 items/1,000 population.",False,BJPsych Open (Newman et al. 2025),,hs071,A,"prescription items (millions), calendar year, community",4.7143,W3,1998
England,antipsychotic_items_england_openprescribing,"203.39/1,000; +146% raw / +111% per capita vs 1998; rise entirely oral (depot fell 5.15 -> 1.86 per 1,000).",False,BJPsych Open (Newman et al. 2025),,hs071,A,"prescription items (millions), calendar year, community",11.615445,W3,2022
Global,antipsychotic_market_size_global,"6.1% CAGR 2025-2033 forecast; schizophrenia 39% of 2024 revenue. WEAK: proprietary forecast, unverifiable methodology — do not present alongside Tier A counts.",False,Grand View Research,,hs087,C,projected market revenue (USD billions),32.24,W3,2033
US,antipsychotic_use_pct_us_adults,,False,HHS ASPE,,hs077,A,% adults using antipsychotics (annual),1.9,W3,2006
US,antipsychotic_use_pct_us_adults,Far above schizophrenia prevalence — most use is for other indications.,False,HHS ASPE,,hs077,A,% adults using antipsychotics (annual),3.0,W3,2023
US,antipsychotic_use_pct_us_youth,,False,HHS ASPE,,hs077,A,% children/adolescents (3-17) using antipsychotics,1.3,W3,2006
US,antipsychotic_use_pct_us_youth,Youth use slightly DECLINED 2006-2023.,False,HHS ASPE,,hs077,A,% children/adolescents (3-17) using antipsychotics,1.1,W3,2023
Global,anxiety_depression_pandemic_increase,WHO scientific brief 2022-03-02; modeled estimate; young people and women most affected.,False,WHO,,hs054,A,"% increase in prevalence of anxiety and depression, first pandemic year",25,W2,2020
Global,anxiety_global_prevalence,359 million in 2021; only ~27.6% of those in need receive treatment. Updated 2025-09-08.,False,WHO,,hs053,A,% of global population with an anxiety disorder,4.4,W2,2021
US,anxiety_symptoms_adults,,False,CDC/NCHS (NHIS),,hs051,A,"% adults with anxiety symptoms (GAD-7, mild+, past 2 weeks)",15.6,W2,2019
US,anxiety_symptoms_adults,Significant increase vs 2019; ages 18-29 rose 19.5%→26.6%.,False,CDC/NCHS (NHIS),,hs051,A,"% adults with anxiety symptoms (GAD-7, mild+, past 2 weeks)",18.2,W2,2022
US,any_mental_illness_adults,~61.5 million; 22.8% in 2023. SMI 5.6% (2024) vs 5.7% (2023) — roughly stable.,False,NACo (citing SAMHSA 2024 NSDUH),,hs048,B,% adults 18+ with any mental illness (past year),23.4,W2,2024
US,benzodiazepine_rx_per100_us_65plus,Verify against original before publication.,False,"2 Minute Medicine (summarizing Annals of Internal Medicine, IQVIA LRx 2015-2024)",,hs082,B,prescriptions per 100 adults 65+,14.1,W3,2015
US,benzodiazepine_rx_per100_us_65plus,"~17% relative decline 2015-2019, then plateau; 75+ rose after 2020.",False,2 Minute Medicine (as above),,hs082,B,prescriptions per 100 adults 65+,11.5,W3,2024
