category,certainty,description,geo,milestone_id,occurred_on,source_id,tier,title,track
overdose,documented,"The first year of the modern comparable series. Age-adjusted rate 6.1 per 100,000. Every later figure on this track is measured against this.",US,hm026,1999-01,hs103,A,"Overdose record begins: 16,849 deaths",F
suicide,documented,"Phillips, Li & Zhang: 23/100k (~287,000 deaths/yr) after adjusting for unreported deaths; rural 3x urban; baseline for China's later decline to WHO-estimated 8.75 by 2019.",CN,hm001,2002-03-09,hs026,A,Lancet publishes first adjusted national suicide rates for China (1995-99),F
suicide,documented,"Later attributed an immediate, permanent ~9% reduction in male suicide mortality (~4,000 male lives/yr) — part of Russia's decline from among the world's highest rates.",RU,hm002,2006-01-01,hs030,A,Russia implements 2006 alcohol control policy,F
overdose,documented,"CDC dates the second wave to 2010. Overdose deaths that year: 38,329 — already more than double 1999, before fentanyl enters the record.",US,hm027,2010-01,hs096,A,Second wave of opioid epidemic begins (heroin),F
overdose,documented,"CDC dates the third wave of opioid overdose deaths to 2013, driven by illicitly manufactured fentanyl (see W4 c09 source).",US,hm003,2013-01,hs096,A,Third wave of opioid epidemic begins (illicit fentanyl),F
overdose,documented,"The steepest year of the fentanyl wave to that point, three years after it began. Age-adjusted rate 19.8 per 100,000, more than triple 1999.",US,hm028,2016-01,hs103,A,"Synthetic-opioid acceleration: 63,632 deaths (+21.4%)",F
suicide,corroborated,In force 2018-05-29; presumption of severe stress supersedes IPC 309 — directly relevant to India's police-report undercount.,IN,hm004,2017-04-07,hs035,B,"India passes Mental Healthcare Act 2017, decriminalizing attempted suicide",F
suicide,documented,"MMWR reports suicide rates rose ~30% since 1999, with significant increases in 44 states and >30% increases in 25 states (1999-2016).",US,hm005,2018-06-08,hs008,A,CDC Vital Signs: suicide rates rising across the US,F
suicide,documented,Threshold moved to 'balance of probabilities'; intentional self-harm coding rose while undetermined intent fell — a natural experiment in how legal process shapes suicide statistics.,GB,hm006,2018-07-26,hs037,A,England & Wales lower coroners' standard of proof for suicide conclusions,F
overdose,documented,"The pandemic year. A rise of 21,169 deaths on 2019 — the largest one-year increase in the series, and the mirror of the 2024 decline.",US,hm029,2020-01,hs103,A,"Largest single-year rise on record: 91,799 deaths (+30.0%)",F
