source_id,statement,tier,topic,workstream
hs019,Global age-standardized suicide rate fell 36% 2000-2019 (WHO); GHE values: 12.51 (2000) -> 9.42 (2019) -> 9.13 (2021).,A,Global decline 2000-2019,W1B
hs019,"2000-2019 rates fell in five WHO regions (17% E. Mediterranean to 47% Europe, 49% W. Pacific) but 'in the Americas Region, rates increased by 17%' (WHO).",A,Regional divergence — Americas rose,W1B
hs027,"From adjusted 23/100k in 1995-99 (~287,000 deaths/yr) to WHO GHE 8.75 in 2019; 1987-2020 registration analysis: urban ASR down ~66%, rural ~81%; historical female excess reversed after 2005.",A,China — one of the world's largest declines,W1B
hs030,"WHO-estimated rate fell 53.06 (2000) -> 24.47 (2019) -> 21.37 (2021); 2006 alcohol policy attributed 'an immediate and permanent reduction of about 9%' in male suicide mortality (~4,000 male lives/yr), no detected female effect (AJPH 2013).",A,Russia — steep decline from world-leading levels,W1B
hs028,"Undetermined-intent deaths declined far more slowly than coded suicides; true mortality likely exceeds Rosstat by ~60% (M) / >2x (F) — part of the recorded decline is coding migration, not fewer deaths.",A,Russia — official decline partly overstated,W1B
hs032,"NCRB record 170,924 (2022; 12.4/lakh, up from 9.9 in 2017) — highest in 56 yrs of ADSI — while WHO GHE modeled rates declined (15.93 in 2000 -> 12.56 in 2021). Part of the recorded rise plausibly reflects improving reporting against a large historical undercount.",B,India — rising recorded counts vs flat-declining modeled rate,W1B
hs039,"Peer-reviewed meta-analysis: 17.9% of suicides missing from official statistics worldwide — implying >1 million actual deaths/yr vs WHO's ~727,000 — concentrated in LMICs incl. India and China (34.9%).",A,Global undercount as first-class finding,W1B
hs043,"US age-adjusted incidence (all sites) stable 2013-2022 (~445.8/100k), but aggregate masks divergence: rising in women and several sites (breast, prostate, pancreas, liver in women, melanoma, oral cavity, uterine corpus) while falling/stable in others.",A,cancer_incidence_overall,W2
hs041,"US cancer mortality falling, not rising: death rate down 34% from 1991 peak through 2023 (~4.8M deaths averted), −1.5%/yr 2014-2023, 5-yr relative survival 70%.",A,cancer_mortality,W2
hs045,"Globally, new cancer cases under 50 rose 79% 1990-2019 (3.26M in 2019) while early-onset deaths rose only 28% — incidence rising much faster than mortality.",A,early_onset_cancer,W2
hs042,US cancer incidence in women <50 now 82% higher than men <50 (up from 51% in 2002); colorectal incidence rising ~3%/yr ages 20-49 while falling 2.5%/yr in 65+.,A,early_onset_cancer_us,W2
hs051,Multiple independent US measures show depression rising over the last decade: PHQ-8 symptoms 18.5% (2019) → 21.4% (2022) per NCHS/NHIS; Gallup ever-diagnosed 20.6% (2017) → 29.0% (2023); steepest among 18-29s and women.,A,depression_us,W2
hs048,Counterpoint: 2024 NSDUH shows adolescent past-year MDE fell 18.1% (2023) → 15.4% (2024); adult SMI roughly flat (5.7% → 5.6%) — recent official data do not show a continuing monotonic rise.,B,depression_counterpoint,W2
hs054,"US adult anxiety symptoms (GAD-7) rose 15.6% (2019) → 18.2% (2022), ages 18-29 19.5% → 26.6% (NCHS/NHIS); WHO estimated a 25% global increase in anxiety and depression in the first pandemic year; anxiety disorders 359M people (4.4%) in 2021.",A,anxiety,W2
hs055,"US overdose deaths peaked at 107,941 (2022, rate 32.6), fell to 105,007 (2023) and 79,384 (2024, −26.2%, largest one-year decline of 2014-2024), provisional 2025 ~69,973 (−14%, third consecutive annual decline). A major documented counterpoint to a worsening-overdose narrative.",A,drug_overdose,W2
